count,technique,act1,act2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
70,45,timestamp,,2000-06-19 00:00:00.000000+0200,2000-07-28 00:00:00.000000+0200,2000-08-28 00:00:00.000000+0200,2000-09-23 00:00:00.000000+0200,2000-10-17 00:00:00.000000+0200,2000-11-14 00:00:00.000000+0100,2000-12-07 00:00:00.000000+0100,2001-01-19 00:00:00.000000+0100,2001-03-12 00:00:00.000000+0100,2001-05-27 00:00:00.000000+0200,2001-07-19 00:00:00.000000+0200,2001-08-28 00:00:00.000000+0200,2001-10-18 00:00:00.000000+0200,2001-11-16 00:00:00.000000+0100,2001-12-19 00:00:00.000000+0100,2002-02-02 00:00:00.000000+0100,2002-04-10 00:00:00.000000+0200,2002-04-10 00:00:00.000000+0200,2002-04-10 00:00:00.000000+0200,2002-06-15 00:00:00.000000+0200,2002-08-07 00:00:00.000000+0200,2002-09-11 00:00:00.000000+0200,2002-10-25 00:00:00.000000+0200,2002-11-22 00:00:00.000000+0100,2003-01-08 00:00:00.000000+0100,2003-01-09 00:00:00.000000+0100,2003-02-14 00:00:00.000000+0100,2003-05-27 00:00:00.000000+0200,2003-09-16 00:00:00.000000+0200,2003-11-03 00:00:00.000000+0100,2003-11-24 00:00:00.000000+0100,2004-01-07 00:00:00.000000+0100,2004-01-16 00:00:00.000000+0100,2004-06-21 00:00:00.000000+0200,2004-09-13 00:00:00.000000+0200,2004-11-20 00:00:00.000000+0100,2004-12-15 00:00:00.000000+0100,2004-12-23 00:00:00.000000+0100,2005-01-11 00:00:00.000000+0100,2005-02-26 00:00:00.000000+0100,2005-03-30 00:00:00.000000+0200,2005-06-07 00:00:00.000000+0200,2005-07-23 00:00:00.000000+0200,2005-09-18 00:00:00.000000+0200,2005-11-21 00:00:00.000000+0100,2005-12-16 00:00:00.000000+0100,2006-01-10 00:00:00.000000+0100,2006-02-22 00:00:00.000000+0100,2006-02-27 00:00:00.000000+0100,2006-03-22 00:00:00.000000+0100,2006-05-05 00:00:00.000000+0200,2006-07-11 00:00:00.000000+0200,2006-09-01 00:00:00.000000+0200,2006-10-25 00:00:00.000000+0200,2006-11-28 00:00:00.000000+0100,2006-12-14 00:00:00.000000+0100,2007-01-10 00:00:00.000000+0100,2007-02-28 00:00:00.000000+0100,2007-02-21 00:00:00.000000+0100,2007-04-16 00:00:00.000000+0200,2007-07-17 00:00:00.000000+0200,2007-09-03 00:00:00.000000+0200,2007-10-25 00:00:00.000000+0200,2007-12-10 00:00:00.000000+0100,2008-01-18 00:00:00.000000+0100,2008-03-12 00:00:00.000000+0100,2008-06-12 00:00:00.000000+0200,2008-08-15 00:00:00.000000+0200,2008-10-03 00:00:00.000000+0200,2008-11-16 00:00:00.000000+0100
0,actual,Create Fine,Create Fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,actual,Create Fine,Send Fine,7,5,4,7,5,5,5,2,3,4,4,6,4,5,8,5,2,1,1,1,7,6,7,5,4,3,1,3,6,2,7,7,1,1,2,5,5,7,8,1,1,4,3,6,4,3,9,4,4,1,1,5,3,5,5,5,11,2,1,1,5,4,6,4,4,6,4,4,4,4
2,actual,Create Fine,Insert Fine Notification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,actual,Create Fine,Add penalty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,actual,Create Fine,Send for Credit Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,actual,Create Fine,Payment,4,3,5,4,2,1,1,1,1,1,2,4,5,3,1,1,1,2,1,1,3,4,3,2,1,1,1,1,3,7,3,1,1,1,6,11,5,2,1,1,3,2,7,6,7,5,2,2,4,1,2,3,8,8,4,3,2,2,3,1,3,7,6,3,2,2,3,4,7,5
6,actual,Create Fine,Insert Date Appeal to Prefecture,4,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,1,1,4,1,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,11,1,4,1,1,1,1,1,1
7,actual,Create Fine,Send Appeal to Prefecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,actual,Create Fine,Receive Result Appeal from Prefecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,actual,Create Fine,Notify Result Appeal to Offender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
