count,technique,act1,act2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
50,25,timestamp,,2013-11-24 15:23:00.000000+0100,2013-12-02 13:17:41.000000+0100,2013-12-10 05:50:06.000000+0100,2013-12-16 16:31:17.000000+0100,2013-12-24 04:03:26.000000+0100,2013-12-31 08:00:00.000000+0100,2014-01-05 20:55:00.000000+0100,2014-01-11 08:00:00.000000+0100,2014-01-17 17:24:00.000000+0100,2014-01-26 11:04:00.000000+0100,2014-02-03 23:01:08.000000+0100,2014-02-11 08:57:00.000000+0100,2014-02-16 08:00:00.000000+0100,2014-02-21 11:55:00.000000+0100,2014-02-25 07:00:00.000000+0100,2014-02-27 22:30:00.000000+0100,2014-03-02 20:48:23.000000+0100,2014-03-06 09:57:00.000000+0100,2014-03-10 12:21:58.000000+0100,2014-03-14 06:00:00.000000+0100,2014-03-17 08:00:00.000000+0100,2014-03-22 07:00:00.000000+0100,2014-03-26 14:30:35.000000+0100,2014-03-30 21:55:29.000000+0200,2014-04-03 09:01:00.000000+0200,2014-04-06 22:03:57.000000+0200,2014-04-09 09:01:00.000000+0200,2014-04-12 11:41:00.000000+0200,2014-04-16 17:33:24.000000+0200,2014-04-21 08:00:00.000000+0200,2014-04-25 08:00:00.000000+0200,2014-04-29 19:27:43.000000+0200,2014-05-02 20:57:07.000000+0200,2014-05-05 17:00:00.000000+0200,2014-05-08 12:42:00.000000+0200,2014-05-11 07:00:00.000000+0200,2014-05-14 23:45:50.000000+0200,2014-05-19 08:00:00.000000+0200,2014-05-23 20:46:00.000000+0200,2014-05-27 04:10:50.000000+0200,2014-05-29 20:40:00.000000+0200,2014-06-02 13:07:37.000000+0200,2014-06-06 04:47:42.000000+0200,2014-06-10 08:00:00.000000+0200,2014-06-16 16:53:04.000000+0200,2014-06-20 02:19:00.000000+0200,2014-06-24 07:00:00.000000+0200,2014-06-27 08:00:00.000000+0200,2014-06-30 08:00:00.000000+0200,2014-07-04 08:00:00.000000+0200
0,ses,Admission IC,Admission IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ses,Admission IC,Admission NC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,ses,Admission IC,CRP,6,1,1,1,6,11,6,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,1,1,6,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
3,ses,Admission IC,ER Registration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ses,Admission IC,ER Sepsis Triage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,ses,Admission IC,ER Triage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ses,Admission IC,IV Antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ses,Admission IC,IV Liquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ses,Admission IC,LacticAcid,1,1,1,1,1,1,6,1,1,1,6,6,1,1,1,11,6,1,1,1,1,6,1,1,1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
